ticker,company_公司名,sector_板块,val_估值得分(PEG/EV/ERG/PE/FCFYld),grw_成长得分(营收/EPS/FCF/指引增速),qlt_质量得分(毛利率/FCF率/ROIC/负债),ai_AI暴露得分(AI营收/平台/订单占比),exp_预期差得分(超预期营收EPS指引),mom_动量得分(RSI14/价格vs200日均),"risk_风险扣分(max20,Beta/回撤/负债)",final_综合得分(0-100),rating_评级,circuit_熔断(Beta>2.2且回撤>35%或DE>1.8),raw_peg_市盈增长比(越低越便宜),raw_ev_sales_EV营收比,raw_forward_pe_远期市盈率,raw_fcf_yield_FCF收益率(越高越好),raw_rev_growth_营收同比增速,raw_eps_growth_EPS同比增速,raw_fwd_rev_guide_NTM营收指引增速,raw_gross_margin_毛利率,raw_fcf_margin_FCF利润率,raw_roic_投入资本回报率,raw_de_ratio_债务权益比(含可转债),raw_nrr_净收入留存率(SaaS/Cyber),raw_rsi14_RSI14(45-65最佳),raw_vs200ma_价格偏离200日均(%),raw_beta_贝塔系数,raw_max_dd_1y_1年最大回撤,live_fields_实时字段数,bad_fields_剔除字段,validation_status,validation_confidence,source_conflict,formula_mismatch,formula_diff_level,formula_diff_abs,formula_diff_reason,base_score_recalculated,dynamic_adjustment_recalculated,final_score_recalculated,sector_confidence,sector_suggested,raw_data_conflict,momentum_recalculated,human_review_required,validation_notes,source_urls_yf,source_urls_fmp,source_urls_sec,source_urls_10k,last_refreshed,raw_current_price_yf,raw_shares_out_yf,raw_fwd_eps_yf,raw_ev_snap_yf,raw_price_at_ev_snap_yf,raw_net_debt_yf,raw_rev_ttm_yf,raw_fcf_ttm_yf,raw_ebitda_ttm_yf,raw_capex_yf,raw_depr_yf,raw_rd_yf,raw_op_inc_yf
U,Unity Software,Hardware,68.14,57.71,68.6,25.0,45.06,30.64,6.16,44.76,Avoid,,n/a [--],6.33 [yf],20.57 [yf],5.0% [yf],16.8% [yf],n/a [--],8.0% [mk],74.7% [yf],31.2% [yf],-20.1% [yf],0.8 [mk],n/a [--],39.1 [yf],-17.1% [yf],2.046 [yf],-65.4% [yf],16.0,,PASS,1.0,True,False,review_medium,4.12,live_data_drift,40.38,0.0,40.38,1.0,SaaS,False,49.9,True,"Sector conflict: CSV=Hardware | Suggested=SaaS (conf=100%) | FMP=/ | Finnhub= | SIC=7372 | [DIM-DELTA] valuation: CSV=57.10 vs recalc=77.82 (Δ=-20.72) | [LIVE-DRIFT-OK] final diff=4.12 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/U,https://financialmodelingprep.com/financial-summary/U,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001810806&type=10-K,https://www.sec.gov/Archives/edgar/data/1810806/000181080626000011/0001810806-26-000011-index.htm,2026-07-10 22:05,27.48 [yf],4.365e+08 [yf],1.336 [yf],1.269e+10 [yf],27.48 [yf],1.787e+08 [yf],1.923e+09 [yf],6.004e+08 [yf],7.112e+07 [yf],-2.202e+07 [yf],4.609e+08 [yf],9.295e+08 [yf],-4.791e+08 [yf]
NXPI,NXP Semiconductors,Hardware,89.07,60.26,64.02,8.44,45.06,92.8,13.83,44.13,Avoid,,0.136 [yf],6.91 [yf],17.77 [yf],3.4% [yf],12.2% [yf],130.7% [yf],8.0% [mk],55.6% [yf],21.6% [yf],25.8% [yf],0.65 [mk],n/a [--],47 [yf],34.7% [yf],1.788 [yf],-24.6% [yf],18.0,,PASS,1.0,False,False,review_low,1.47,live_data_drift,39.57,0.0,39.57,1.0,Hardware,False,93.6,False,"[DIM-DELTA] valuation: CSV=79.70 vs recalc=81.69 (Δ=-1.99) | [LIVE-DRIFT-OK] final diff=1.47 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/NXPI,https://financialmodelingprep.com/financial-summary/NXPI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001413447&type=10-K,https://www.sec.gov/Archives/edgar/data/1413447/000141344726000008/0001413447-26-000008-index.htm,2026-07-10 22:05,313.3 [yf],2.525e+08 [yf],17.63 [yf],8.483e+10 [yf],313.3 [yf],8.016e+09 [yf],1.262e+10 [yf],2.727e+09 [yf],4.161e+09 [yf],-5.37e+08 [yf],8.32e+08 [yf],2.36e+09 [yf],3.035e+09 [yf]
MSFT,Microsoft,SaaS,93.97,61.57,62.35,39.75,53.44,18.97,14.79,43.94,Avoid,,0.838 [yf],9 [yf],19.61 [yf],1.3% [yf],18.3% [yf],23.4% [yf],14.0% [mk],68.3% [yf],11.6% [yf],34.0% [yf],0.3 [mk],1.12 [mk],18.6 [yf],-15.6% [yf],1.103 [yf],-33.9% [yf],18.0,,PASS,0.9,False,False,review_low,0.83,live_data_drift,41.79,0.0,41.79,1.0,SaaS,True,45.5,True,"[CROSS-SRC] gross_margin: CSV=0.683 vs SEC=0.031 (diff=0.652) | [DIM-DELTA] valuation: CSV=88.20 vs recalc=87.11 (Δ=+1.09) | [DIM-DELTA] ai_exposure: CSV=38.50 vs recalc=39.75 (Δ=-1.25) | [LIVE-DRIFT-OK] final diff=0.83 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/MSFT,https://financialmodelingprep.com/financial-summary/MSFT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000789019&type=10-K,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm,2026-07-10 22:05,379.4 [yf],7.428e+09 [yf],19.35 [yf],2.973e+12 [yf],379.4 [yf],4.72e+10 [yf],3.183e+11 [yf],3.701e+10 [yf],1.845e+11 [yf],-6.455e+10 [yf],3.415e+10 [yf],3.249e+10 [yf],1.285e+11 [yf]
ADI,Analog Devices,Hardware,73.81,73.32,72.73,4.47,47.35,96.6,15.91,43.38,Avoid,,0.266 [yf],17.02 [yf],29.41 [yf],1.8% [yf],37.2% [yf],110.5% [yf],10.0% [mk],64.5% [yf],30.4% [yf],9.6% [yf],0.4 [mk],n/a [--],56.5 [yf],40.6% [yf],1.183 [yf],-15.7% [yf],18.0,,PASS,0.9,False,False,review_low,0.77,live_data_drift,37.01,0.0,37.01,1.0,Hardware,True,93.8,True,"[CROSS-SRC] gross_margin: CSV=0.645 vs SEC=1.09 (diff=0.447) | [DIM-DELTA] valuation: CSV=55.20 vs recalc=59.51 (Δ=-4.31) | [LIVE-DRIFT-OK] final diff=0.77 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/ADI,https://financialmodelingprep.com/financial-summary/ADI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006281&type=10-K,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/0000006281-25-000153-index.htm,2026-07-10 22:05,434.5 [yf],4.871e+08 [yf],14.77 [yf],2.079e+11 [yf],434.5 [yf],5.269e+09 [yf],1.274e+10 [yf],3.869e+09 [yf],6.149e+09 [yf],-5.336e+08 [yf],1.999e+09 [yf],1.766e+09 [yf],3.002e+09 [yf]
AMZN,Amazon,Hardware,80.87,71.38,43.75,22.31,61.44,59.98,14.41,42.78,Avoid,,0.331 [yf],3.66 [yf],24.79 [yf],0.4% [yf],16.6% [yf],74.8% [yf],12.0% [mk],50.6% [yf],1.3% [yf],24.3% [yf],0.4 [mk],n/a [--],31.1 [yf],5.0% [yf],1.444 [yf],-21.7% [yf],18.0,,PASS,1.0,False,False,minor_diff,0.42,live_data_drift,37.1,0.0,37.1,0.0,Unknown,False,62.9,False,[DIM-DELTA] valuation: CSV=67.60 vs recalc=65.44 (Δ=+2.16),https://finance.yahoo.com/quote/AMZN,https://financialmodelingprep.com/financial-summary/AMZN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724&type=10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/0001018724-26-000004-index.htm,2026-07-10 22:05,244.4 [yf],1.076e+10 [yf],9.86 [yf],2.739e+12 [yf],244.4 [yf],9.245e+10 [yf],7.428e+11 [yf],9.807e+09 [yf],1.559e+11 [yf],-1.318e+11 [yf],6.576e+10 [yf],n/a [--],7.998e+10 [yf]
AMAT,Applied Materials,Hardware,54.21,46.98,63.9,57.34,47.35,72.0,13.89,41.69,Avoid,,1.133 [yf],16.85 [yf],37.95 [yf],0.6% [yf],11.4% [yf],33.5% [yf],12.0% [mk],49.0% [yf],10.5% [yf],39.7% [yf],0.3 [mk],n/a [--],77.5 [yf],94.6% [yf],1.672 [yf],-21.4% [yf],18.0,,PASS,0.9,False,False,minor_diff,0.48,live_data_drift,39.47,0.0,39.47,1.0,Hardware,True,77.9,True,[CROSS-SRC] gross_margin: CSV=0.49 vs SEC=0.945 (diff=0.455) | [DIM-DELTA] valuation: CSV=43.50 vs recalc=54.44 (Δ=-10.94),https://finance.yahoo.com/quote/AMAT,https://financialmodelingprep.com/financial-summary/AMAT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006951&type=10-K,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/0001628280-25-056742-index.htm,2026-07-10 22:05,617.1 [yf],7.94e+08 [yf],16.26 [yf],4.502e+11 [yf],617.1 [yf],-9.73e+08 [yf],2.902e+10 [yf],3.04e+09 [yf],9.275e+09 [yf],-2.26e+09 [yf],4.35e+08 [yf],3.57e+09 [yf],8.47e+09 [yf]
JBL,Jabil,Hardware,86.33,66.94,41.67,9.82,46.85,95.24,15.88,40.54,Avoid,,0.262 [yf],1.28 [yf],25.19 [yf],3.1% [yf],23.1% [yf],96.2% [yf],7.0% [mk],9.0% [yf],3.7% [yf],59.7% [yf],0.8 [mk],n/a [--],53.1 [yf],42.7% [yf],1.287 [yf],-17.9% [yf],18.0,,PASS,1.0,False,False,review_low,1.47,live_data_drift,36.98,0.0,36.98,1.0,Hardware,False,96.8,False,"[DIM-DELTA] valuation: CSV=82.80 vs recalc=85.73 (Δ=-2.93) | [LIVE-DRIFT-OK] final diff=1.47 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/JBL,https://financialmodelingprep.com/financial-summary/JBL,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000898293&type=10-K,https://www.sec.gov/Archives/edgar/data/898293/000162828025045293/0001628280-25-045293-index.htm,2026-07-10 22:05,371.9 [yf],1.055e+08 [yf],14.76 [yf],4.223e+10 [yf],371.9 [yf],2.607e+09 [yf],3.267e+10 [yf],1.204e+09 [yf],2.377e+09 [yf],-4.68e+08 [yf],6.74e+08 [yf],2.6e+07 [yf],1.436e+09 [yf]
KLAC,KLA Corporation,Hardware,32.39,43.11,81.85,53.5,48.93,90.52,14.21,39.97,Avoid,,3.85 [yf],23.18 [yf],45.43 [yf],1.0% [yf],11.5% [yf],11.8% [yf],12.0% [mk],61.4% [yf],22.1% [yf],95.0% [yf],0.6 [mk],n/a [--],43.6 [yf],49.6% [yf],1.407 [yf],-28.2% [yf],18.0,,PASS,1.0,False,False,review_low,0.58,live_data_drift,40.52,0.0,40.52,0.0,Unknown,False,97.6,False,"[DIM-DELTA] valuation: CSV=23.50 vs recalc=35.91 (Δ=-12.41) | [LIVE-DRIFT-OK] final diff=0.58 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/KLAC,https://financialmodelingprep.com/financial-summary/KLAC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000319201&type=10-K,https://www.sec.gov/Archives/edgar/data/319201/000031920125000024/0000319201-25-000024-index.htm,2026-07-10 22:05,231.5 [yf],1.306e+09 [yf],5.096 [yf],3.036e+11 [yf],231.5 [yf],1.187e+09 [yf],1.31e+10 [yf],2.89e+09 [yf],5.85e+09 [yf],-3.402e+08 [yf],3.941e+08 [yf],1.36e+09 [yf],5.014e+09 [yf]
HPE,Hewlett Packard Enterprise,Hardware,94.16,56.9,24.21,16.96,45.06,97.0,14.75,39.54,Avoid,,0.988 [yf],2.03 [yf],11.86 [yf],6.1% [yf],40.0% [yf],12.0% [yf],7.0% [mk],33.8% [yf],9.9% [yf],6.3% [yf],0.65 [mk],n/a [--],57.5 [yf],82.0% [yf],1.448 [yf],-23.7% [yf],17.0,,PASS,1.0,False,False,review_medium,2.73,live_data_drift,36.15,0.0,36.15,0.0,Unknown,False,98.2,False,"[DIM-DELTA] valuation: CSV=93.20 vs recalc=94.82 (Δ=-1.62) | [LIVE-DRIFT-OK] final diff=2.73 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/HPE,https://financialmodelingprep.com/financial-summary/HPE,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001645590&type=10-K,https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/0001645590-25-000130-index.htm,2026-07-10 22:05,47.41 [yf],1.324e+09 [yf],3.998 [yf],8.014e+10 [yf],47.41 [yf],1.601e+10 [yf],3.879e+10 [yf],3.836e+09 [yf],5.631e+09 [yf],-2.292e+09 [yf],2.737e+09 [yf],2.518e+09 [yf],1.644e+09 [yf]
CSCO,Cisco Systems,Hardware,77.59,46.05,71.93,21.22,47.35,93.56,17.32,38.84,Avoid,,0.675 [yf],8.03 [yf],25.03 [yf],2.0% [yf],12.0% [yf],37.1% [yf],5.0% [mk],64.3% [yf],15.3% [yf],25.2% [yf],0.35 [mk],1.04 [mk],48.9 [yf],45.5% [yf],1.004 [yf],-13.6% [yf],18.0,,PASS,1.0,False,False,review_low,1.07,live_data_drift,31.12,0.0,31.12,0.0,Unknown,False,97.6,False,"[DIM-DELTA] valuation: CSV=50.50 vs recalc=56.90 (Δ=-6.40) | [LIVE-DRIFT-OK] final diff=1.07 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/CSCO,https://financialmodelingprep.com/financial-summary/CSCO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000858877&type=10-K,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/0000858877-25-000111-index.htm,2026-07-10 22:05,119.5 [yf],3.941e+09 [yf],4.776 [yf],4.876e+11 [yf],119.5 [yf],1.636e+10 [yf],6.075e+10 [yf],9.288e+09 [yf],1.701e+10 [yf],-9.05e+08 [yf],2.811e+09 [yf],9.3e+09 [yf],1.25e+10 [yf]
GEV,GE Vernova,Hardware,56.72,60.78,45.72,11.54,52.33,93.32,11.54,38.73,Avoid,,0.025 [yf],7.3 [yf],44.73 [yf],3.2% [yf],16.3% [yf],1816.5% [yf],n/a [--],20.3% [yf],23.7% [yf],,n/a [--],n/a [--],48.3 [yf],35.5% [yf],0.935 [yf],-24.6% [yf],,,,,,,,,,,,,,,,,,,,,,,2026-07-10 22:05,1092 [yf],2.687e+08 [yf],24.41 [yf],2.885e+11 [yf],1092 [yf],-6.017e+09 [yf],3.937e+10 [yf],9.316e+09 [yf],3.415e+09 [yf],-1.277e+09 [yf],8.53e+08 [yf],1.197e+09 [yf],1.389e+09 [yf]
AFRM,Affirm Holdings,Hardware,72.5,81.56,14.69,25.0,59.75,87.01,5.16,38.71,Avoid,YES,0.006 [yf],7.32 [yf],19.57 [yf],1.4% [yf],32.6% [yf],3529.3% [yf],28.0% [mk],48.4% [yf],7.6% [yf],11.5% [yf],3.5 [mk],n/a [--],50.3 [yf],10.8% [yf],3.699 [yf],-53.9% [yf],17.0,eps_growth_yoy(raw=35.29),PASS,1.0,False,False,review_low,1.83,live_data_drift,36.06,0.0,36.06,0.0,Unknown,False,72.3,False,"[DIM-DELTA] valuation: CSV=70.90 vs recalc=83.15 (Δ=-12.25) | [LIVE-DRIFT-OK] final diff=1.83 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/AFRM,https://financialmodelingprep.com/financial-summary/AFRM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001820953&type=10-K,https://www.sec.gov/Archives/edgar/data/1820953/000182095325000080/0001820953-25-000080-index.htm,2026-07-10 22:05,73.92 [yf],2.944e+08 [yf],3.777 [yf],3.234e+10 [yf],73.92 [yf],7.322e+09 [yf],3.972e+09 [yf],3.011e+08 [yf],6.316e+08 [yf],-1.922e+08 [yf],2.251e+08 [yf],n/a [--],3.38e+08 [yf]
MBLY,Mobileye Global,Hardware,92.97,38.45,52.75,41.11,26.59,15.92,10.14,38.45,Avoid,,0.54 [yf],0.39 [yf],23.64 [yf],28.6% [yf],27.4% [yf],-20.0% [yf],18.0% [mk],48.3% [yf],29.4% [yf],-40.6% [yf],0.0 [mk],n/a [--],29.8 [yf],-20.6% [yf],1.146 [yf],-65.6% [yf],16.0,ev_ebitda(raw=-22.28),PASS,1.0,True,False,review_low,1.69,rounding_difference,36.84,0.0,36.84,1.0,SaaS,False,60.9,True,Sector conflict: CSV=Hardware | Suggested=SaaS (conf=100%) | FMP=/ | Finnhub= | SIC=7372,https://finance.yahoo.com/quote/MBLY,https://financialmodelingprep.com/financial-summary/MBLY,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001910139&type=10-K,https://www.sec.gov/Archives/edgar/data/1910139/000110465926014300/0001104659-26-014300-index.htm,2026-07-10 22:05,8.46 [yf],2.444e+08 [yf],0.3579 [yf],6.82e+09 [yf],8.46 [yf],-1.282e+09 [yf],2.014e+09 [yf],5.916e+08 [yf],-2.88e+08 [yf],-7.9e+07 [yf],5.17e+08 [yf],1.151e+09 [yf],-4.4e+08 [yf]
NTNX,Nutanix,Hardware,76.77,55.83,75.81,22.5,54.94,0.0,12.42,38.26,Avoid,,1.245 [yf],4.43 [yf],21.42 [yf],5.0% [yf],10.0% [yf],17.2% [yf],14.0% [mk],87.1% [yf],23.0% [yf],15.0% [mk],0.5 [mk],1.16 [mk],nan [yf],nan% [yf],0.605 [yf],-57.6% [yf],17.0,,PASS,1.0,True,False,review_low,0.93,live_data_drift,40.53,0.0,40.53,1.0,SaaS,False,66.6,True,"Sector conflict: CSV=Hardware | Suggested=SaaS (conf=100%) | FMP=/ | Finnhub= | SIC=7372 | [DIM-DELTA] valuation: CSV=73.10 vs recalc=75.59 (Δ=-2.49) | [LIVE-DRIFT-OK] final diff=0.93 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/NTNX,https://financialmodelingprep.com/financial-summary/NTNX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001618732&type=10-K,https://www.sec.gov/Archives/edgar/data/1618732/000119312525213801/0001193125-25-213801-index.htm,2026-07-10 22:05,46.9 [yf],2.703e+08 [yf],2.19 [yf],1.258e+10 [yf],46.9 [yf],-4.856e+08 [yf],2.75e+09 [yf],6.317e+08 [yf],3.16e+08 [yf],-7.128e+07 [yf],7.27e+07 [yf],7.368e+08 [yf],1.725e+08 [yf]
DELL,Dell Technologies,Hardware,94.22,87.0,34.55,21.03,54.94,93.0,14.61,37.62,Avoid,YES,0.069 [yf],1.14 [yf],19.36 [yf],4.1% [yf],87.5% [yf],282.5% [yf],10.0% [mk],19.2% [yf],4.1% [yf],35.0% [mk],2.5 [mk],n/a [--],47.5 [yf],136.8% [yf],1.378 [yf],-32.3% [yf],17.0,,PASS,1.0,False,False,review_low,1.75,live_data_drift,34.68,0.0,34.68,1.0,Hardware,False,99.4,False,"[DIM-DELTA] valuation: CSV=84.80 vs recalc=87.62 (Δ=-2.82) | [LIVE-DRIFT-OK] final diff=1.75 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/DELL,https://financialmodelingprep.com/financial-summary/DELL,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001571996&type=10-K,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/0001571996-26-000008-index.htm,2026-07-10 22:05,409.5 [yf],3.249e+08 [yf],21.15 [yf],2.822e+11 [yf],409.5 [yf],2.034e+10 [yf],1.34e+11 [yf],5.434e+09 [yf],1.407e+10 [yf],-2.633e+09 [yf],3.029e+09 [yf],3.142e+09 [yf],8.446e+09 [yf]
ARM,Arm Holdings,Hardware,34.24,59.66,66.1,39.07,62.03,98.96,6.18,37.06,Avoid,YES,2.991 [yf],94.77 [yf],143.2 [yf],0.2% [yf],20.1% [yf],47.9% [yf],24.0% [mk],97.5% [yf],15.2% [yf],12.0% [yf],0.0 [mk],n/a [--],62.4 [yf],161.8% [yf],3.786 [yf],-41.5% [yf],18.0,,PASS,1.0,False,False,review_low,1.08,rounding_difference,32.1,0.0,32.1,1.0,Hardware,False,96.6,False,,https://finance.yahoo.com/quote/ARM,https://financialmodelingprep.com/financial-summary/ARM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001973239&type=10-K,,2026-07-10 22:05,439.5 [yf],1.068e+09 [yf],3.068 [yf],4.202e+11 [yf],439.5 [yf],-3.11e+09 [yf],4.92e+09 [yf],7.505e+08 [yf],1.065e+09 [yf],-5.75e+08 [yf],2.49e+08 [yf],2.776e+09 [yf],9.08e+08 [yf]
FN,Fabrinet,Hardware,65.6,68.12,38.7,50.86,53.44,0.0,14.52,36.95,Avoid,,0.623 [yf],4.63 [yf],33.23 [yf],-0.4% [yf],39.3% [yf],53.3% [yf],16.0% [mk],12.0% [yf],-1.9% [yf],20.0% [yf],0.0 [mk],n/a [--],nan [yf],nan% [yf],1.171 [yf],-22.3% [yf],16.0,fcf_yield,PASS,1.0,False,False,review_low,1.05,live_data_drift,43.71,0.0,43.71,0.0,Unknown,False,78.3,False,"[DIM-DELTA] valuation: CSV=61.00 vs recalc=69.60 (Δ=-8.60) | [LIVE-DRIFT-OK] final diff=1.05 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/FN,https://financialmodelingprep.com/financial-summary/FN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001408710&type=10-K,https://www.sec.gov/Archives/edgar/data/1408710/000140871025000039/0001408710-25-000039-index.htm,2026-07-10 22:05,573.8 [yf],3.583e+07 [yf],17.27 [yf],2.013e+10 [yf],573.8 [yf],-9.408e+08 [yf],4.235e+09 [yf],-7.918e+07 [yf],4.797e+08 [yf],-1.218e+08 [yf],5.343e+07 [yf],n/a [--],3.259e+08 [yf]
DOCU,DocuSign,Hardware,100.0,50.22,72.95,16.5,46.85,0.0,14.77,36.71,Avoid,,0.485 [yf],2.33 [yf],8.53 [yf],15.1% [yf],8.7% [yf],17.6% [yf],8.0% [mk],79.5% [yf],38.0% [yf],16.4% [yf],0.65 [mk],1.02 [mk],nan [yf],nan% [yf],0.883 [yf],-50.9% [yf],18.0,,PASS,1.0,True,False,review_medium,2.04,live_data_drift,36.22,0.0,36.22,1.0,SaaS,False,37.2,True,"Sector conflict: CSV=Hardware | Suggested=SaaS (conf=100%) | FMP=/ | Finnhub= | SIC=7372 | [DIM-DELTA] valuation: CSV=92.50 vs recalc=98.62 (Δ=-6.12) | [DIM-DELTA] growth: CSV=28.60 vs recalc=37.65 (Δ=-9.05) | [DIM-DELTA] quality: CSV=79.30 vs recalc=75.20 (Δ=+4.10) | [DIM-DELTA] ai_exposure: CSV=10.00 vs recalc=16.50 (Δ=-6.50) | [LIVE-DRIFT-OK] final diff=2.04 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/DOCU,https://financialmodelingprep.com/financial-summary/DOCU,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001261333&type=10-K,https://www.sec.gov/Archives/edgar/data/1261333/000126133326000021/0001261333-26-000021-index.htm,2026-07-10 22:05,43.47 [yf],1.909e+08 [yf],5.097 [yf],7.853e+09 [yf],43.47 [yf],-6.308e+08 [yf],3.286e+09 [yf],1.25e+09 [yf],3.875e+08 [yf],-1.064e+08 [yf],1.161e+08 [yf],6.65e+08 [yf],2.986e+08 [yf]
ASML,ASML Holding,Hardware,31.48,29.94,66.15,35.19,61.04,89.56,10.35,35.45,Avoid,,1.877 [yf],20.39 [yf],36.04 [yf],1.2% [yf],13.2% [yf],19.2% [yf],n/a [--],52.6% [yf],24.5% [yf],,n/a [--],n/a [--],42.7 [yf],34.8% [yf],1.394 [yf],-17.8% [yf],,,,,,,,,,,,,,,,,,,,,,,2026-07-10 22:05,1797 [yf],3.854e+08 [yf],49.87 [yf],3.848e+13 [yf],1797 [yf],-5.671e+09 [yf],3.369e+10 [yf],8.243e+09 [yf],1.27e+10 [yf],-1.631e+09 [yf],1.026e+09 [yf],4.699e+09 [yf],1.13e+10 [yf]
ISRG,Intuitive Surgical,Hardware,59.49,52.16,73.15,17.3,53.44,32.37,12.76,35.19,Avoid,,1.836 [yf],13.19 [yf],34.51 [yf],1.6% [yf],23.0% [yf],18.8% [yf],16.0% [mk],66.3% [yf],21.3% [yf],17.2% [yf],0.0 [mk],n/a [--],40.7 [yf],-17.1% [yf],1.453 [yf],-32.2% [yf],18.0,,PASS,1.0,False,False,review_medium,2.06,live_data_drift,29.19,0.0,29.19,0.0,Unknown,False,48.8,False,"[DIM-DELTA] valuation: CSV=47.10 vs recalc=40.95 (Δ=+6.15) | [LIVE-DRIFT-OK] final diff=2.06 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/ISRG,https://financialmodelingprep.com/financial-summary/ISRG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001035267&type=10-K,https://www.sec.gov/Archives/edgar/data/1035267/000103526726000010/0001035267-26-000010-index.htm,2026-07-10 22:05,406.8 [yf],3.542e+08 [yf],11.79 [yf],1.433e+11 [yf],406.8 [yf],-4.517e+09 [yf],1.058e+10 [yf],2.254e+09 [yf],3.886e+09 [yf],-5.398e+08 [yf],6.771e+08 [yf],1.312e+09 [yf],2.946e+09 [yf]
BBAI,BigBear.ai,Hardware,75.0,36.36,0.0,86.67,43.06,14.6,0.66,34.9,Avoid,YES,n/a [--],12.19 [yf],-19.6 [yf],-3.2% [yf],-0.9% [yf],n/a [--],15.0% [mk],25.8% [yf],-46.7% [yf],-58.4% [yf],2.5 [mk],n/a [--],26.5 [yf],-24.8% [yf],3.083 [yf],-65.9% [yf],13.0,ev_ebitda(raw=-25.31); forward_pe(raw=-20.7); fcf_yield,PASS,0.9,True,False,review_low,0.74,live_data_drift,31.01,0.0,31.01,1.0,SaaS,True,49.6,True,"Sector conflict: CSV=Hardware | Suggested=SaaS (conf=100%) | FMP=/ | Finnhub= | SIC=7372 | [RANGE] revenue_growth=-0.9 outside [-0.8,3.0] | [DIM-DELTA] valuation: CSV=52.00 vs recalc=59.61 (Δ=-7.61) | [DIM-DELTA] growth: CSV=20.20 vs recalc=20.78 (Δ=-0.58) | [DIM-DELTA] ai_exposure: CSV=100.00 vs recalc=86.67 (Δ=+13.33) | [LIVE-DRIFT-OK] final diff=0.74 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/BBAI,https://financialmodelingprep.com/financial-summary/BBAI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001836981&type=10-K,https://www.sec.gov/Archives/edgar/data/1836981/000183698126000018/0001836981-26-000018-index.htm,2026-07-10 22:05,3.92 [yf],4.789e+08 [yf],-0.2 [yf],1.571e+09 [yf],3.92 [yf],-3.253e+08 [yf],1.274e+08 [yf],-5.949e+07 [yf],-6.322e+07 [yf],-4.366e+06 [yf],1.528e+07 [yf],1.675e+07 [yf],-8.341e+07 [yf]
